Greek Word,Frequency Rank,Group,Level,French Translation,Part of Speech
ο δρόμος,219,Cycling - lvl 1,1,la rue,Noun
το αυτοκίνητο,310,Cycling - lvl 1,1,la voiture,Noun
η ασφάλεια,466,Cycling - lvl 1,1,la sécurité,Noun
ο χώρος,549,Cycling - lvl 1,1,l'espace (sur la route),Noun
ασφαλής,635,Cycling - lvl 1,1,sûr,Adjective
δυνατός,731,Cycling - lvl 1,1,fort,Adjective
η προστασία,1035,Cycling - lvl 1,1,la protection,Noun
ο οδηγός,1406,Cycling - lvl 1,1,le conducteur,Noun
το όχημα,1510,Cycling - lvl 1,1,le véhicule,Noun
το αυτοκίνητό,1514,Cycling - lvl 1,1,la voiture (possessif),Noun
ο διάδρομος,1524,Cycling - lvl 1,1,le couloir (piste),Noun
η διαδρομή,1539,Cycling - lvl 1,1,le trajet,Noun
το δρόμου,1649,Cycling - lvl 1,1,de la rue (génitif),Noun
ο εξοπλισμός,1721,Cycling - lvl 1,1,l'équipement,Noun
το ποδήλατο,1900,Cycling - lvl 1,1,le vélo,Noun
το αυτοκινήτου,1930,Cycling - lvl 1,1,de la voiture (génitif),Noun
κατάλληλος,1999,Cycling - lvl 1,1,approprié,Adjective
οπτικός,2450,Cycling - lvl 1,1,visuel,Adjective
ο σκασμός,2666,Cycling - lvl 1,1,la crevaison,Noun
εσωτερικός,2683,Cycling - lvl 1,1,intérieur,Adjective
ο επιβάτης,3025,Cycling - lvl 1,1,le passager,Noun
βαθύς,3259,Cycling - lvl 1,1,profond,Adjective
ο κράνος,3550,Cycling - lvl 1,1,le casque,Noun
πλαστικός,3763,Cycling - lvl 1,1,plastique,Adjective
η οδήγηση,3911,Cycling - lvl 1,1,la conduite,Noun
το τζιπ,4067,Cycling - lvl 1,1,la jeep,Noun
το τροχόσπιτο,4094,Cycling - lvl 1,1,la caravane,Noun
το περιπολικό,4136,Cycling - lvl 1,1,la voiture de police,Noun
ο συνδυασμός,4180,Cycling - lvl 1,1,la combinaison,Noun
εξωτερικός,4233,Cycling - lvl 1,1,extérieur,Adjective
η ομάδα,221,Sports (General) - lvl 1,1,l'équipe,Noun
το παιχνίδι,296,Sports (General) - lvl 1,1,le jeu,Noun
ο αγώνας,683,Sports (General) - lvl 1,1,le match,Noun
η παράσταση,1020,Sports (General) - lvl 1,1,la représentation,Noun
η καριέρα,1059,Sports (General) - lvl 1,1,la carrière,Noun
η κατηγορία,1302,Sports (General) - lvl 1,1,la catégorie,Noun
η χρονιά,1317,Sports (General) - lvl 1,1,l'année,Noun
η δράση,1394,Sports (General) - lvl 1,1,l'action,Noun
η παρουσία,1441,Sports (General) - lvl 1,1,la présence,Noun
η γιορτή,1490,Sports (General) - lvl 1,1,la fête,Noun
η εμφάνιση,1941,Sports (General) - lvl 1,1,l'apparition,Noun
η συναυλία,2145,Sports (General) - lvl 1,1,le concert,Noun
η επίδειξη,2173,Sports (General) - lvl 1,1,la démonstration,Noun
το γυμναστήριο,2237,Sports (General) - lvl 1,1,le gymnase,Noun
η εξάσκηση,2434,Sports (General) - lvl 1,1,la pratique,Noun
η προπόνηση,2459,Sports (General) - lvl 1,1,l'entraînement,Noun
ο τζούνιορ,2562,Sports (General) - lvl 1,1,le junior,Noun
το πρωτάθλημα,2782,Sports (General) - lvl 1,1,le championnat,Noun
η δοκιμασία,2835,Sports (General) - lvl 1,1,l'épreuve,Noun
η εκδήλωση,2917,Sports (General) - lvl 1,1,l'événement,Noun
ο προπονητής,2948,Sports (General) - lvl 1,1,l'entraîneur,Noun
ο πρωταθλητής,3022,Sports (General) - lvl 1,1,le champion,Noun
η ξεκούραση,3233,Sports (General) - lvl 1,1,le repos,Noun
το ξεκουράσου,3393,Sports (General) - lvl 1,1,repose-toi (impératif),Verb
