Greek Word,Frequency Rank,Theme,Level,French Translation,Part of Speech
ο δρόμος,219,Cycling,1,,
το αυτοκίνητο,310,Cycling,1,,
η ασφάλεια,466,Cycling,1,,
ο χώρος,549,Cycling,1,,
ασφαλής,635,Cycling,1,,
δυνατός,731,Cycling,1,,
η προστασία,1035,Cycling,1,,
ο οδηγός,1406,Cycling,1,,
το όχημα,1510,Cycling,1,,
το αυτοκίνητό,1514,Cycling,1,,
ο διάδρομος,1524,Cycling,1,,
η διαδρομή,1539,Cycling,1,,
το δρόμου,1649,Cycling,1,,
ο εξοπλισμός,1721,Cycling,1,,
το ποδήλατο,1900,Cycling,1,,
το αυτοκινήτου,1930,Cycling,1,,
κατάλληλος,1999,Cycling,1,,
οπτικός,2450,Cycling,1,,
ο σκασμός,2666,Cycling,1,,
εσωτερικός,2683,Cycling,1,,
ο επιβάτης,3025,Cycling,1,,
βαθύς,3259,Cycling,1,,
ο κράνος,3550,Cycling,1,,
πλαστικός,3763,Cycling,1,,
η οδήγηση,3911,Cycling,1,,
το τζιπ,4067,Cycling,1,,
το τροχόσπιτο,4094,Cycling,1,,
το περιπολικό,4136,Cycling,1,,
ο συνδυασμός,4180,Cycling,1,,
εξωτερικός,4233,Cycling,1,,
το περπάτημα,4766,Cycling,2,,
αδύνατος,4834,Cycling,2,,
το πήδημα,4857,Cycling,2,,
ο κινητήρας,5040,Cycling,2,,
η σήμανση,5161,Cycling,2,,
αυτοκινητόδρομος,5326,Cycling,2,,
μηχανικός,5411,Cycling,2,,
προφυλακτικά,5450,Cycling,2,,
μεταλλικός,5453,Cycling,2,,
το διαδρόμου,5500,Cycling,2,,
ο μηχανισμός,5883,Cycling,2,,
ο γκρεμός,5930,Cycling,2,,
η αμαξιού,6066,Cycling,2,,
ο αναπτήρας,6583,Cycling,2,,
επίδεσμο,6843,Cycling,2,,
καθιστικός,6952,Cycling,2,,
το ποδήλατό,6967,Cycling,2,,
ο σχεδιασμός,7020,Cycling,2,,
η μοτοσικλέτα,7405,Cycling,2,,
υδραυλικός,7601,Cycling,2,,
ο σχηματισμός,7918,Cycling,2,,
η εκκίνηση,8013,Cycling,2,,
το αλεξίσφαιρο,8118,Cycling,2,,
το παρκαρισμένο,8251,Cycling,2,,
ο καθαρισμός,8273,Cycling,2,,
δυνατότερος,8636,Cycling,2,,
ο τροχός,8650,Cycling,2,,
η ποδήλατα,8799,Cycling,2,,
ο συλλέκτης,8841,Cycling,2,,
η περιστροφή,8884,Cycling,2,,
ο υλικός,9011,Cycling,3,,
ανασφαλής,9047,Cycling,3,,
οδηγάω / οδήγησα,9222,Cycling,3,,
το πατίνι,9260,Cycling,3,,
η πλεύση,9663,Cycling,3,,
ο σκούτερ,9700,Cycling,3,,
ο φωτισμός,9816,Cycling,3,,
διασχίσω / διάσχισα,9894,Cycling,3,,
διασχίζω / διάσχισα,9997,Cycling,3,,
η ομάδα,221,Sports (General),1,,
το παιχνίδι,296,Sports (General),1,,
ο αγώνας,683,Sports (General),1,,
η παράσταση,1020,Sports (General),1,,
η καριέρα,1059,Sports (General),1,,
η κατηγορία,1302,Sports (General),1,,
η χρονιά,1317,Sports (General),1,,
η δράση,1394,Sports (General),1,,
η παρουσία,1441,Sports (General),1,,
η γιορτή,1490,Sports (General),1,,
η εμφάνιση,1941,Sports (General),1,,
η συναυλία,2145,Sports (General),1,,
